timestamp,Rotor,_id,KH-Zähl2,GetrT,Spann,Azimut,Spann.2,Prod. 2,Leistung,Abgabe,BtrStd 1,Bezug,KH-Ana-3,Gen1-,Strom-.2,KH-Zähl1,KH-Ana-2,KH-DigiE,Außen,Strom-,Wind,Lager,KH-DigiI,Prod. 1,Spann.1,CosPh,Status,KH-Ana-1,BtrStd 2,Strom-.1,KH-Ana-4
2016-01-22T11:00:00.000Z,0,6882314aa85e68182405c407,0,0,0,0,0,1744105,0,1191,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388270,0,0,9999,0,45373,0,0
2016-01-22T11:10:00.000Z,0,6882314aa85e68182405c408,0,0,0,0,0,1744105,0,1191,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388270,0,0,9999,0,45373,0,0
2016-01-22T11:20:00.000Z,0,6882314aa85e68182405c409,0,0,0,0,0,1744105,0,1191,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388270,0,0,9999,0,45373,0,0
2016-01-22T11:30:00.000Z,0,6882314aa85e68182405c40a,0,0,0,0,0,1744105,0,1191,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388270,0,0,9999,0,45373,0,0
2016-01-22T11:40:00.000Z,0,6882314aa85e68182405c40b,0,0,0,0,0,1744105,0,1191,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388270,0,0,9999,0,45373,0,0
2016-01-22T11:50:00.000Z,0,6882314aa85e68182405c40c,0,0,0,0,0,1744105,0,1191,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388270,0,0,9999,0,45373,0,0
2016-01-22T12:00:00.000Z,0,6882314aa85e68182405c40d,0,0,0,0,0,1744105,0,1191,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388270,0,0,9999,0,45373,0,0
2016-01-22T12:10:00.000Z,0,6882314aa85e68182405c40e,0,0,0,0,0,1744105,0,1191,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388270,0,0,9999,0,45373,0,0
2016-01-22T12:20:00.000Z,0,6882314aa85e68182405c40f,0,0,0,0,0,1744105,0,1191,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388270,0,0,9999,0,45373,0,0
2016-01-22T12:30:00.000Z,0,6882314aa85e68182405c410,0,0,0,0,0,1744105,0,1191,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388270,0,0,9999,0,45373,0,0
2016-01-22T12:40:00.000Z,0,6882314aa85e68182405c411,0,0,0,0,0,1744105,0,1191,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388270,0,0,9999,0,45373,0,0
2016-01-22T12:50:00.000Z,0,6882314aa85e68182405c412,0,0,0,0,0,1744105,0,1191,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388270,0,0,9999,0,45373,0,0
2016-01-22T13:00:00.000Z,0,6882314aa85e68182405c413,0,0,0,0,0,1744105,0,1191,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388270,0,0,9999,0,45373,0,0
2016-01-22T13:10:00.000Z,0,6882314aa85e68182405c414,0,0,0,0,0,1744105,0,1191,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388270,0,0,9999,0,45373,0,0
2016-01-22T13:20:00.000Z,0,6882314aa85e68182405c415,0,0,0,0,0,1744105,0,1191,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388270,0,0,9999,0,45373,0,0
2016-01-22T13:30:00.000Z,0,6882314aa85e68182405c416,0,0,0,0,0,1744105,0,1191,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388270,0,0,9999,0,45373,0,0
2016-01-22T13:40:00.000Z,0,6882314aa85e68182405c417,0,0,0,0,0,1744105,0,1191,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388270,0,0,9999,0,45373,0,0
2016-01-22T13:50:00.000Z,0,6882314aa85e68182405c418,0,0,0,0,0,1744105,0,1191,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388270,0,0,9999,0,45373,0,0
2016-01-22T14:00:00.000Z,0,6882314aa85e68182405c419,0,0,0,0,0,1744105,0,1191,49143,21,0,0,0,0,0,0,0,0,0,0,0,33388270,0,0,9999,0,45373,0,0
